id;nombres;apellidos;correo;nro_celular;fechacontrato;salario;comision_porcentaje
1;towards likewise the;bob fly;perfection wearily;ride yum;2025-04-09T00:12:50;24209;29332
2;rotten however;even lender;gee anti likewise;delete before;2025-04-09T09:23:20;22348;25465
3;provided;oxidize helplessly yowza;although;malfunction weary refine;2025-04-09T08:41:54;19173;18662
4;even;frankly formal interestingly;staid reproachfully management;but dearest round;2025-04-09T11:50:09;20490;20464
5;or once emotional;likewise gah duh;sleepily astride awesome;fortunately;2025-04-09T04:09:50;1070;13404
6;once unbearably;live sarong;incidentally;regarding uh-huh lest;2025-04-09T11:50:27;20461;5432
7;numb dredger considering;lest sarong;so furthermore;because briefly;2025-04-09T16:25:06;15029;9462
8;amidst oof;which;swim regarding describe;stir-fry woot;2025-04-09T13:59:27;22241;341
9;properly;convection;officially aside concerning;excluding zowie fooey;2025-04-08T19:48:03;19156;8963
10;mid;hmph impartial;round alongside off;gallivant pertinent;2025-04-09T14:37:31;10920;7680
